City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Nelson Bay,AU,77.05,clear sky,-32.7167,152.15,Mantra Nelson Bay
233,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
235,Dera Ghazi Khan,PK,85.15,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
237,Marawi,PH,77.31,overcast clouds,7.9986,124.2928,Derogongan Residence
239,Ormara,PK,78.31,clear sky,25.2088,64.6357,Kenara Colony house for Rent
245,Panama City,PA,79.45,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
249,Kuala Terengganu,MY,80.55,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
250,Tura,IN,76.8,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
251,Zamboanguita,PH,84.24,overcast clouds,9.1025,123.1996,Thalatta Dive Resort
261,Hun,LY,80.65,clear sky,29.1268,15.9477,Alrwasi Hotel
267,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
271,Sola,VU,82.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
273,Cravo Norte,CO,85.28,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
274,Victoria,HK,76.95,clear sky,22.2855,114.1577,Mini Hotel Central
275,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
281,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
288,Hambantota,LK,80.94,light rain,6.1241,81.1185,Bungalow 63
296,Acarau,BR,77.45,overcast clouds,-2.8856,-40.12,castelo pizzaria
298,Le Port,RE,76.96,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
311,Umm Lajj,SA,75.36,clear sky,25.0213,37.2685,Moon light Furnished Units
314,Matam,SN,76.69,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
318,Pandan,PH,80.64,overcast clouds,14.0453,124.1694,Bonifacio Lodge
321,Kilindoni,TZ,81.61,clear sky,-7.9139,39.6668,Bustani B&B
325,Samarai,PG,84.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
326,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
327,Yanam,IN,84.97,overcast clouds,16.7333,82.2167,The Regency Hotel
330,Alyangula,AU,89.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
331,Arraial Do Cabo,BR,76.28,clear sky,-22.9661,-42.0278,Pousada Porto Praia
333,Nimaparha,IN,82.8,broken clouds,20.0667,86.0167,Sony nani
334,Namatanai,PG,85.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
339,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
345,San-Pedro,CI,78.91,overcast clouds,4.7485,-6.6363,Hotel Maria
347,Belsand,IN,86.88,clear sky,26.45,85.4,Patel ji nivas
360,Ruteng,ID,76.26,scattered clouds,-8.6136,120.4721,Hotel FX 72
363,Yuxia,CN,79.72,clear sky,34.0615,108.6291,Shanchengxuan Hotel
367,Faanui,PF,83.19,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Point Fortin,TT,76.89,few clouds,10.1833,-61.6833,Jus Les' Suites
371,Taranagar,IN,87.4,broken clouds,28.6709,75.0351,Jyani Plaza
375,Bilma,NE,81.34,few clouds,18.6853,12.9164,Expeditions Ténére voyages
376,Hobyo,SO,80.4,clear sky,5.3505,48.5268,Iftin hotel hobyo
383,Brazzaville,CG,77.36,few clouds,-4.2658,15.2832,Hotel Muesse
393,Sur,OM,82.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
394,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
395,Kulhudhuffushi,MV,83.08,few clouds,6.6221,73.07,Haajy Guest House 1
397,Buchanan,LR,78.04,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
398,Byron Bay,AU,82.71,clear sky,-28.65,153.6167,Backpackers Inn
399,Carutapera,BR,75.69,moderate rain,-1.195,-46.02,Lidera
403,San Patricio,US,76.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
406,Culaman,PH,83.5,overcast clouds,5.9603,125.6586,Jasmin Ex House
410,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
411,Sulangan,PH,81.61,moderate rain,11.1373,123.7228,Maia's Beach Resort
414,Bac Lieu,VN,85.55,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
416,Nuevo Laredo,MX,82.67,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
418,The Valley,AI,78.66,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
425,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
433,Meulaboh,ID,81.72,overcast clouds,4.1363,96.1285,Kost Pria
