City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Umm Lajj,SA,2022-04-02 22:02:48,25.0213,37.2685,82.08,31,5,1.99
67,Vaini,TO,2022-04-02 22:02:48,-21.2,-175.2,79.81,73,0,5.46
68,San Policarpo,PH,2022-04-02 22:02:49,12.1791,125.5072,79.72,79,44,12.73
69,Chuy,UY,2022-04-02 22:02:49,-33.6971,-53.4616,62.85,74,2,12.33
70,Busselton,AU,2022-04-02 22:02:50,-33.65,115.3333,68.09,92,83,9.98
71,Pochutla,MX,2022-04-02 22:02:50,15.7432,-96.4661,89.82,33,5,8.23
72,San Cristobal,VE,2022-04-02 22:02:06,7.7669,-72.225,79.97,54,33,4.12
73,Luderitz,NA,2022-04-02 22:02:50,-26.6481,15.1594,60.06,81,1,12.93
74,Caravelas,BR,2022-04-02 22:02:51,-17.7125,-39.2481,77.23,81,0,5.79
75,Itarema,BR,2022-04-02 22:02:51,-2.9248,-39.9167,76.66,87,83,11.39
76,Vila,PT,2022-04-02 22:02:52,42.0304,-8.1588,38.28,80,0,5.77
77,Pevek,RU,2022-04-02 22:02:52,69.7008,170.3133,-4.16,94,99,2.55
78,Barranco De Loba,CO,2022-04-02 22:02:53,8.946,-74.1065,88.93,59,51,5.59
79,Rio Grande,BR,2022-04-02 22:02:53,-32.035,-52.0986,67.95,68,58,16.87
80,Bathsheba,BB,2022-04-02 22:02:54,13.2167,-59.5167,78.58,72,77,18.25
81,Kawalu,ID,2022-04-02 22:02:54,-7.3817,108.2082,72.82,94,100,2.37
82,Beringovskiy,RU,2022-04-02 22:02:54,63.05,179.3167,3.06,92,86,12.62
83,Kizilskoye,RU,2022-04-02 22:02:55,52.7255,58.8937,38.1,90,100,8.81
84,Kapaa,US,2022-04-02 22:02:56,22.0752,-159.319,78.48,79,72,5.99
85,Kisangani,CD,2022-04-02 22:02:56,0.5167,25.2,68.77,99,100,1.83
86,Victoria Point,AU,2022-04-02 22:02:57,-27.5833,153.3,76.24,88,55,3.51
87,Atuona,PF,2022-04-02 21:57:30,-9.8,-139.0333,79.59,74,3,15.21
88,Saint Anthony,US,2022-04-02 22:02:57,45.0205,-93.218,49.3,50,75,19.57
89,Gat,IL,2022-04-02 22:03:58,31.61,34.7642,69.4,41,100,2.1
90,Tuatapere,NZ,2022-04-02 21:57:28,-46.1333,167.6833,55.69,75,34,2.21
91,Whitehorse,CA,2022-04-02 22:03:58,60.7161,-135.0538,40.01,47,62,18.01
92,Verin,ES,2022-04-02 22:03:58,41.9415,-7.4381,38.14,65,49,3.04
93,Cabo Rojo,PR,2022-04-02 21:59:44,18.0866,-67.1457,82.26,77,26,4.0
94,Bethel,US,2022-04-02 22:03:59,41.3712,-73.414,54.48,37,0,4.61
95,Aklavik,CA,2022-04-02 22:03:59,68.2191,-135.0107,-7.46,85,98,2.82
96,Carnarvon,AU,2022-04-02 22:04:00,-24.8667,113.6333,77.05,81,11,10.65
97,Dikson,RU,2022-04-02 21:57:32,73.5069,80.5464,-7.38,100,87,7.94
98,Mahebourg,MU,2022-04-02 22:01:06,-20.4081,57.7,75.25,86,100,16.49
99,Haines Junction,CA,2022-04-02 22:04:00,60.7522,-137.5108,34.57,72,96,2.51
100,Arenzano,IT,2022-04-02 22:04:00,44.4052,8.6832,49.46,80,0,5.75
101,Bandarbeyla,SO,2022-04-02 22:04:01,9.4942,50.8122,77.99,82,53,3.69
102,Emba,KZ,2022-04-02 22:04:02,48.8264,58.1442,39.65,84,100,8.3
103,Cortez,US,2022-04-02 22:04:02,37.3489,-108.5859,66.04,22,0,12.66
104,Tonj,SS,2022-04-02 22:04:03,7.2737,28.6822,86.81,38,80,3.56
105,Dahuk,IQ,2022-04-02 22:03:50,36.8695,42.994,59.23,45,0,5.99
106,Hermanus,ZA,2022-04-02 22:04:03,-34.4187,19.2345,62.8,79,91,16.55
107,Huarmey,PE,2022-04-02 22:04:04,-10.0681,-78.1522,73.22,74,100,10.16
108,Acapulco,MX,2022-04-02 22:04:04,16.8634,-99.8901,84.02,65,75,13.8
109,Saskylakh,RU,2022-04-02 22:04:05,71.9167,114.0833,0.28,97,98,8.99
110,Bredasdorp,ZA,2022-04-02 22:04:05,-34.5322,20.0403,61.84,78,82,11.92
111,Norman Wells,CA,2022-04-02 22:04:06,65.282,-126.8329,2.8,82,100,3.51
112,Makakilo City,US,2022-04-02 22:04:06,21.3469,-158.0858,80.56,57,7,23.35
113,Qaanaaq,GL,2022-04-02 22:04:07,77.484,-69.3632,10.42,81,79,5.66
114,Itoman,JP,2022-04-02 22:04:07,26.1247,127.6694,64.42,77,100,6.91
115,Tromso,NO,2022-04-02 22:04:08,69.6496,18.957,28.42,86,20,8.05
116,Bengkulu,ID,2022-04-02 22:04:09,-3.8004,102.2655,74.97,81,78,5.17
117,Chongwe,ZM,2022-04-02 22:04:09,-15.3292,28.682,63.86,95,7,3.49
118,East London,ZA,2022-04-02 21:55:46,-33.0153,27.9116,66.25,88,100,9.84
119,Suleja,NG,2022-04-02 22:04:10,9.1758,7.1808,85.86,32,61,2.89
120,Cidreira,BR,2022-04-02 22:04:10,-30.1811,-50.2056,70.38,75,2,17.22
121,Meulaboh,ID,2022-04-02 22:04:10,4.1363,96.1285,77.04,86,98,1.3
122,Margate,GB,2022-04-02 22:04:11,51.3813,1.3862,40.69,59,10,5.99
123,Mpika,ZM,2022-04-02 22:04:11,-11.8343,31.4529,62.98,97,99,3.71
124,Faanui,PF,2022-04-02 22:04:12,-16.4833,-151.75,81.99,73,76,9.89
125,Loiza,PR,2022-04-02 22:04:13,18.4313,-65.8802,79.45,83,9,13.96
126,Ribeira Grande,PT,2022-04-02 22:04:13,38.5167,-28.7,59.63,72,95,19.01
127,Fortuna,US,2022-04-02 22:04:13,40.5982,-124.1573,60.93,57,0,12.66
128,Ewa Beach,US,2022-04-02 22:04:14,21.3156,-158.0072,81.99,56,7,18.99
129,Barrow,US,2022-04-02 22:04:14,71.2906,-156.7887,-5.78,77,20,14.97
130,Pisco,PE,2022-04-02 22:04:15,-13.7,-76.2167,68.02,86,71,7.36
131,Esperance,AU,2022-04-02 22:04:15,-33.8667,121.9,67.57,51,23,11.86
132,Nakhon Nayok,TH,2022-04-02 22:04:16,14.1667,101.1,70.3,67,100,6.62
133,Novobiryusinskiy,RU,2022-04-02 22:04:16,56.9578,97.7076,21.85,88,78,6.26
134,Chifeng,CN,2022-04-02 22:04:17,42.2683,118.9636,39.6,33,47,6.91
135,Maceio,BR,2022-04-02 22:04:17,-9.6658,-35.7353,80.04,78,0,8.05
136,Nanortalik,GL,2022-04-02 22:04:17,60.1432,-45.2371,36.43,94,100,9.53
137,Nouadhibou,MR,2022-04-02 22:04:18,20.931,-17.0347,63.64,85,46,17.22
